iter	Passed	Remaining
1041	731082	6285066
1042	732228	6288178
1043	734117	6297662
1044	735752	6304938
1045	736701	6306330
1046	737493	6306381
1047	738358	6307049
1048	739554	6310540
1049	740464	6311580
1050	741210	6311216
1051	742248	6313349
1052	742993	6312976
1053	743675	6312067
1054	744412	6311627
1055	745816	6316843
1056	748054	6329090
1057	748826	6328931
1058	749604	6328813
1059	750529	6329936
1060	751352	6330196
1061	752168	6330399
1062	752924	6330092
1063	753418	6327585
1064	754377	6328981
1065	755167	6328952
1066	755894	6328398
1067	756282	6325017
1068	756946	6323933
1069	757528	6322177
1070	758075	6320128
1071	758731	6318990
1072	759281	6316970
1073	759989	6316260
1074	760758	6316067
1075	761379	6314636
1076	762064	6313747
1077	762954	6314545
1078	763437	6311977
1079	763957	6309723
1080	764812	6310237
1081	765756	6311478
1082	766535	6311356
1083	767357	6311588
1084	768094	6311117
1085	768712	6309667
1086	769656	6310899
1087	770459	6310971
1088	771224	6310730
1089	772079	6311219
1090	772672	6309572
1091	773322	6308389
1092	774252	6309482
1093	774997	6309073
1094	775708	6308386
1095	776577	6308987
1096	777215	6307704
1097	777915	6306923
1098	778779	6307477
1099	779507	6306928
1100	780199	6306083
1101	781061	6306609
1102	781644	6304889
1103	782123	6302329
1104	782809	6301438
1105	783505	6300630
1106	784096	6298976
1107	784749	6297829
1108	785531	6297708
1109	786250	6297088
1110	786997	6296686
1111	787730	6296177
1112	788619	6296908
1113	789330	6296221
1114	790292	6297535
1115	791410	6300077
1116	793035	6306654
1117	793824	6306571
1118	794285	6303889
1119	794888	6302333
1120	795836	6303505
1121	796367	6301386
1122	797009	6300136
1123	797647	6298857
1124	798366	6298223
1125	799010	6296997
1126	799752	6296546
1127	800646	6297284
1128	801302	6296152
1129	802029	6295580
1130	802849	6295734
1131	803570	6295107
1132	804295	6294515
1133	804991	6293696
1134	805733	6293242
1135	806449	6292578
1136	807241	6292504
1137	808050	6292571
1138	808952	6293354
1139	809731	6293174
1140	810366	6291878
1141	810923	6289984
1142	811541	6288558
1143	812248	6287822
1144	812867	6286414
1145	813481	6284959
1146	814216	6284444
1147	814899	6283525
1148	815681	6283372
1149	816395	6282696
1150	817126	6282148
1151	817725	6280585
1152	818420	6279763
1153	818887	6277190
1154	819507	6275799
1155	820153	6274596
1156	820725	6272837
1157	821294	6271058
1158	821987	6270227
1159	822647	6269143
1160	823331	6268241
1161	823825	6265898
1162	824528	6265140
1163	825325	6265097
1164	826004	6264165
1165	826749	6263723
1166	827468	6263089
1167	828430	6264298
1168	829164	6263772
1169	829818	6262645
1170	830540	6262036
1171	831135	6260467
1172	831937	6260456
1173	832679	6259993
1174	833401	6259378
1175	834034	6258095
1176	834624	6256493
1177	835574	6257588
1178	836195	6256216
1179	836615	6253347
1180	837215	6251820
1181	838009	6251750
1182	838725	6251094
1183	839628	6251829
1184	840484	6252215
1185	841276	6252117
1186	841995	6251481
1187	842826	6251670
1188	843511	6250785
1189	844374	6251212
1190	845176	6251182
1191	846086	6251951
1192	846871	6251800
1193	847726	6252160
1194	848464	6251658
1195	849232	6251371
1196	849883	6250227
1197	850490	6248764
1198	851052	6246966
1199	851838	6246817
1200	852740	6247513
1201	853841	6249664
1202	854882	6251369
1203	855830	6252399
1204	856614	6252219
1205	857334	6251572
1206	857918	6249940
1207	858521	6248441
1208	859338	6248506
1209	860153	6248553
1210	860888	6248017
1211	861773	6248572
1212	862577	6248532
1213	864356	6255549
1214	865880	6260705
1215	866666	6260527
1216	867499	6260677
1217	868432	6261554
1218	869232	6261465
1219	870223	6262758
1220	870887	6261684
1221	871606	6261013
1222	872217	6259566
1223	872924	6258812
1224	873618	6257958
1225	874368	6257509
1226	875036	6256473
1227	875500	6253979
1228	876232	6253406
1229	877051	6253448
1230	877635	6251817
1231	878355	6251155
1232	879087	6250575
1233	879801	6249868
1234	880477	6248892
1235	881176	6248080
1236	881803	6246762
1237	882512	6246022
1238	883279	6245691
1239	883903	6244353
1240	884622	6243684
1241	885441	6243719
1242	886222	6243484
1243	886894	6242484
1244	887538	6241287
1245	888241	6240501
1246	888876	6239241
1247	889482	6237783
1248	890038	6235971
1249	890606	6234245
1250	891299	6233395
1251	892142	6233598
1252	892708	6231858
1253	893240	6229890
1254	893799	6228110
1255	894523	6227481
1256	895073	6225636
1257	895698	6224318
1258	896400	6223543
1259	897035	6222296
1260	897771	6221750
1261	898453	6220832
1262	899164	6220113
1263	899722	6218338
1264	900322	6216850
1265	900988	6215821
1266	901524	6213899
1267	902148	6212587
1268	902605	6210127
1269	903356	6209688
1270	903923	6207984
1271	904531	6206563
1272	905287	6206164
1273	906211	6206909
1274	907045	6207037
1275	907683	6205823
1276	908247	6204106
1277	908827	6202498
1278	909466	6201293
1279	910088	6199980
1280	910755	6198964
1281	911620	6199305
1282	912226	6197877
1283	912876	6196753
1284	913753	6197170
1285	914463	6196448
1286	915326	6196768
1287	916072	6196288
1288	916878	6196224
1289	917687	6196168
1290	918511	6196219
1291	919111	6194756
1292	919783	6193777
1293	920453	6192785
1294	921054	6191337
1295	921695	6190153
1296	922300	6188728
1297	922950	6187605
1298	923636	6186729
1299	924107	6184413
1300	924812	6183660
1301	925899	6185461
1302	926638	6184940
1303	927539	6185493
1304	929820	6195239
1305	930933	6197194
1306	931679	6196703
1307	932521	6196850
1308	933254	6196270
1309	933827	6194625
1310	934700	6194977
1311	935706	6196202
1312	937397	6201958
1313	938096	6201144
1314	938840	6200632
1315	939437	6199146
1316	940127	6198273
1317	940991	6198548
1318	941651	6197483
1319	942443	6197280
1320	943178	6196702
1321	943880	6195909
1322	944917	6197316
1323	945772	6197527
1324	946665	6197979
1325	947510	6198116
1326	948398	6198536
1327	949099	6197735
1328	950056	6198601
1329	950805	6198109
1330	951667	6198351
1331	952523	6198551
